"wbic","county","waterbody.name","trtyco","trtystat","trtyprop","resstat","resprop","outarea","region","wtm91.x","wtm91.y","lat","long","lake.area","class.code","shore.length","max.depth","draintype.code","depth.below.20","depth.above.3","sand","gravel","rock","muck","drainage","drainage.ag","drainage.wild","watershed.desc","source","outlet","water.fluct","wet.adj","public.desc","wae.code","mus.code","lake.chain.code"
2079400,"polk","camelia_lake",2,1,1,0,0,0,"nor",349891.7,542577.83,45.33,-92.17,60,5,1.6,6,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2079600,"barron","mud_lake",1,1,1,0,0,0,"nor",354269.49,548847.11,45.39,-92.11,19,5,0.8,4,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2079700,"barron","lower_turtle_lake",1,1,1,0,0,0,"nor",357824.3,547188.44,45.37,-92.07,276,4,3.9,24,"dg",25,20,80,15,0,5,3,60,40,8,0,108,1,18,0,"cnr","o",NA
2079800,"barron","upper_turtle_lake",1,1,1,0,0,0,"nor",356696.22,550371.19,45.4,-92.08,438,4,6.7,25,"dg",20,20,80,20,0,0,4,40,60,4,0,100,1,110,0,"cst","o",NA
2080000,"barron","prairie_farm_flowage",1,1,1,0,0,0,"nor",364109.13,531467.99,45.23,-91.98,29,3,1.9,8,"dg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"o","o",NA
2081000,"barron","un_lake",1,1,1,0,0,0,"nor",363415.15,560167.32,45.49,-92,7,NA,0.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2081200,"barron","beaver_dam_lake",1,1,1,0,0,0,"nor",362695.22,563374.2,45.52,-92.01,1112,4,1.8,106,"se",80,3,50,10,10,30,8,50,50,9,1,200,1,810,0.8,"cst","o",NA
2081500,"barron","library_lake",1,1,1,0,0,0,"nor",361919.65,564202.06,45.53,-92.02,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2081700,"barron","kidney_lake",1,1,1,0,0,0,"nor",358085.78,569036.6,45.57,-92.07,40,6,1.4,32,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2081900,"dunn","un_lake",2,1,1,0,0,0,"wcr",378113.09,508954.02,45.03,-91.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
